id;title;company;link
job-item-7718841;Business Intelligence Data Modeling & Architecture Specialist (m/w/d);Deutsche Kreditbank AG (DKB);stepstone.de/stellenangebote--Business-Intelligence-Data-Modeling-Architecture-Specialist-m-w-d-Berlin-Deutsche-Kreditbank-AG-DKB--7718841-inline.html
job-item-7709049;Data Warehouse Engineer (m/w/d);IGEFA Handelsgesellschaft mbH & Co. KG;stepstone.de/stellenangebote--Data-Warehouse-Engineer-m-w-d-Berlin-Neumuenster-IGEFA-Handelsgesellschaft-mbH-Co-KG--7709049-inline.html
job-item-7710225;Senior Software Engineer IT Data and Integration (f/m/d) | on-site or remote;Best Secret GmbH;stepstone.de/stellenangebote--Senior-Software-Engineer-IT-Data-and-Integration-f-m-d-on-site-or-remote-Aschheim-bei-Muenchen-oder-remote-Berlin-Hamburg-Koeln-Frankfurt-Stuttgart-oder-Leipzig-Best-Secret-GmbH--7710225-inline.html
job-item-4863622;(Erfahrener) Berater Data Driven Marketing (w/m/d);PwC;stepstone.de/stellenangebote--Erfahrener-Berater-Data-Driven-Marketing-w-m-d-Berlin-Duesseldorf-Frankfurt-a-M-Hamburg-Muenchen-Stuttgart-PwC--4863622-inline.html
job-item-7650484;Senior Data Analyst Retail (m/w/d);T-Systems Multimedia Solutions GmbH;stepstone.de/stellenangebote--Senior-Data-Analyst-Retail-m-w-d-Berlin-Dresden-Hamburg-Leinfelden-Echterdingen-Stuttgart-Muenchen-T-Systems-Multimedia-Solutions-GmbH--7650484-inline.html
job-item-7776045;Senior HR Data Analyst (m/w/div) Regressionsanalyse;Deutsche Rentenversicherung Bund;stepstone.de/stellenangebote--Senior-HR-Data-Analyst-m-w-div-Regressionsanalyse-Berlin-Deutsche-Rentenversicherung-Bund--7776045-inline.html
job-item-7585637;Consultant (m/w/d) Process & Data Analytics;Horn & Company Performance & Restructuring GmbH;stepstone.de/stellenangebote--Consultant-m-w-d-Process-Data-Analytics-Duesseldorf-Berlin-Frankfurt-am-Main-Hamburg-Koeln-Muenchen-Horn-Company-Performance-Restructuring-GmbH--7585637-inline.html
job-item-7748826;Data Analyst (m/w/d);H-Hotels GmbH;stepstone.de/stellenangebote--Data-Analyst-m-w-d-Berlin-H-Hotels-GmbH--7748826-inline.html
job-item-7779642;Referent (m/w/d) Data Driven Digital Business Modell;Deutscher Sparkassen- und Giroverband e.V.;stepstone.de/stellenangebote--Referent-m-w-d-Data-Driven-Digital-Business-Modell-Berlin-Deutscher-Sparkassen-und-Giroverband-e-V--7779642-inline.html
job-item-7710191;Senior Web Data Analyst (f/m/d) E-Commerce | on-site or remote;Best Secret GmbH;stepstone.de/stellenangebote--Senior-Web-Data-Analyst-f-m-d-E-Commerce-on-site-or-remote-Aschheim-bei-Muenchen-oder-remote-Berlin-Hamburg-Koeln-Frankfurt-Stuttgart-oder-Leipzig-Best-Secret-GmbH--7710191-inline.html
